overall_accuracy_t1,balanced_accuracy_t1,fake_accuracy_t1,real_accuracy_t1,true_positive_rate_t1,false_positive_rate_t1,true_negative_rate_t1,false_negative_rate_t1,real_sharing_rate_t1,fake_sharing_rate_t1,share_given_judged_real_t1,share_given_judged_fake_t1,share_on_TN_t1,share_on_FP_t1,share_on_FN_t1,share_on_TP_t1,intervention_group,id,attrition,overall_accuracy_t2,balanced_accuracy_t2,fake_accuracy_t2,real_accuracy_t2,true_positive_rate_t2,false_positive_rate_t2,true_negative_rate_t2,false_negative_rate_t2,real_sharing_rate_t2,fake_sharing_rate_t2,share_given_judged_real_t2,share_given_judged_fake_t2,share_on_TN_t2,share_on_FP_t2,share_on_FN_t2,share_on_TP_t2
73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_2,G1_P0091,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,70.0,40.0,100.0,100.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_5,G1_P0092,0,86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_2,G1_P0093,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.333333333333336,65.0,30.0,100.0,100.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_5,G1_P0094,0,46.666666666666664,60.0,20.0,100.0,100.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,65.0,50.0,80.0,80.0,50.0,50.0,20.0,0.0,10.0,11.11111111111111,0.0,0.0,20.0,0.0,0.0,intervention_5,G1_P0095,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,60.0,60.0,60.0,60.0,40.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,control,G1_P0098,0,66.66666666666666,75.0,50.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.23076923076923,67.5,75.0,60.0,60.0,25.0,75.0,40.0,80.0,25.0,80.0,25.0,16.666666666666664,50.0,50.0,100.0,intervention_2,G1_P0099,0,50.0,61.111111111111114,22.22222222222222,100.0,100.0,77.77777777777779,22.22222222222222,0.0,80.0,55.55555555555556,75.0,0.0,0.0,71.42857142857143,0.0,80.0
100.0,50.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,control,G1_P0104,0,87.5,83.33333333333333,66.66666666666666,100.0,100.0,33.33333333333333,66.66666666666666,0.0,80.0,33.33333333333333,83.33333333333334,0.0,0.0,100.0,0.0,80.0
53.333333333333336,55.00000000000001,50.0,60.0,60.0,50.0,50.0,40.0,80.0,50.0,87.5,28.57142857142857,20.0,80.0,50.0,100.0,control,G1_P0105,0,84.61538461538461,87.5,75.0,100.0,100.0,25.0,75.0,0.0,100.0,62.5,100.0,50.0,50.0,100.0,0.0,100.0
57.14285714285714,66.66666666666666,33.33333333333333,100.0,100.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_4,G1_P0108,0,73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
